"Group","Qty","Function","Preferred candidate / MPN","Alternative","Footprint or selection note","Procurement note"
"MCU adapter","1","Wi-Fi/BLE/USB comparison board","Seeed Studio XIAO ESP32-S3 Plus","None; exact Plus revision required","Socketed on ESP32-S3 adapter","Verify official Korean distributor or DigiKey/Mouser Korea stock before order"
"MCU adapter","1","Low-power BLE/USB comparison board","Seeed Studio XIAO nRF52840 Plus","None; exact Plus revision required","Socketed on nRF52840 adapter","Verify official Korean distributor or DigiKey/Mouser Korea stock before order"
"Input expander","1","Key matrix, navigation, touch input","MCP23017-E/SO","MCP23017T-E/SO","SOIC-28 for prototype hand rework","Commonly stocked by global distributors; recheck lead time"
"Touch controller","1","Single circular capacitive electrode","AT42QT1010-TSHR","CAP1203-1-SN for later multi-electrode study","SOT-23-6 preferred candidate; alternative is not footprint-compatible","Order evaluation quantity plus tuning passives"
"Addressable RGB","6","Per-key status lighting","SK6812MINI-E","WS2812B-2020 or compatible family","Do not treat alternatives as footprint/pin compatible without drawing review","Domestic maker shops often stock modules/loose LEDs; verify genuine data sheet and reel orientation"
"Logic buffer","1","3.3 V to 5 V RGB data level shift","SN74AHCT1G125DBVR","74AHCT1G125GW,125","SOT-23-5/SOT-353 alternatives are not footprint-compatible","Use AHCT input thresholds; do not substitute HC blindly"
"RGB load switch","1","Switched, current-limited LED rail","TPS2553DBVR","AP22653W6-7","Current-limit equation and package differ","Select only after current target and distributor stock review"
"Mechanical key","13","Primary input switches","TBD: MX or Choc exact MPN","Selected family equivalent","Blocking mechanical decision","Buy samples before plate freeze"
"Hot-swap socket","13","Replaceable mechanical switches","Kailh CPG151101S11 for MX candidate","Kailh Choc socket after Choc selection","MX and Choc footprints/stacks differ","Available from keyboard suppliers; validate manufacturer drawing"
"Key diode","13","Matrix isolation","1N4148W-7-F","Any qualified 1N4148W with matched package/polarity","SOD-123","Widely available domestically and globally"
"Rotary encoder","1","Rotation plus click","ALPS Alpine EC11E15244G1 candidate","Bourns PEC11R series after dimension match","Exact shaft, pulses, detents, tabs, and height must be locked","Check Eleparts/DeviceMart and global distributor stock"
"Encoder knob","1","User control","TBD after shaft selection","Any dimensionally qualified knob","Match shaft type and enclosure clearance","Buy with encoder samples"
"Navigation switch","1","Up/down/left/right/center","ALPS Alpine SKRHABE010 candidate","Another SKRH-series part after drawing/force review","Exact cap, height, force, and mounting tabs required","Availability can be volatile; secure samples early"
"Adapter connector plug","2","Common-PCB mezzanine connection","Samtec TSW-110-07-G-D candidate","Qualified 2x10 2.54 mm header","Prototype-friendly; production may use lower-profile mezzanine","Domestic generic stock is easy; lock exact height before enclosure"
"Adapter connector socket","1","Common-PCB mezzanine connection","Samtec SSW-110-02-G-D candidate","Qualified 2x10 2.54 mm socket","Must mate with selected plug and support current","Use matching plated system"
"I2C pull-up","2","I2C bias","4.7 kOhm 1% candidate","2.2-10 kOhm after capacitance test","0603 or 0805","Exact value is a measurement output"
"MCP address/reset pull","4","Defined expander startup","10 kOhm 1% candidate","4.7-47 kOhm after review","0603 or 0805","Count/value may change with address/reset circuit"
"RGB data resistor","1","First-LED edge damping","330 Ohm 1%","220-470 Ohm after scope test","0603 or 0805 close to first LED","Widely available"
"LED local capacitor","6","RGB decoupling","100 nF X7R >=10 V","Manufacturer-qualified equivalent","0603/0805 adjacent to each LED","Do not omit for prototype"
"Logic decoupling","3","IC supply decoupling","100 nF X7R >=10 V","Manufacturer-qualified equivalent","One per active IC, close to pins","Final count follows schematic"
"RGB bulk capacitor","1","LED transient reservoir","470 uF >=10 V low-ESR candidate","220-1000 uF after transient test","Radial or SMD constrained by enclosure","Measure inrush and height"
"Local bulk capacitor","2","3.3 V and LED rail support","10 uF X7R >=10 V","22 uF after derating review","0805/1206 depending derating","Account for DC-bias loss"
"Touch tuning capacitor","1","Touch sensitivity","TBD from AT42QT1010 reference design","DNP value ladder for coupon","C0G/NP0 where appropriate","Populate after overlay coupon test"
"Battery connector","1 per adapter","Protected Li-Po connection","JST S2B-PH-K-S(LF)(SN) candidate","JST B2B-PH-K-S(LF)(SN)","Side/vertical entry is mechanical decision; polarity must be documented","Commonly available but cable polarity is not universal"
"Battery","1","Portable power","Protected 3.7 V Li-Po, exact MPN TBD","Qualified protected cell fitting envelope","Capacity/dimensions/connector/charge rate must match","Purchase from reputable Korean battery supplier"
"Test points","8+","Power and signal bring-up","Keystone 5015 candidate or SMD loop/test pads","Fabricated PCB test pads","At least GND, VBUS, 3V3, BAT, RGB rail, SDA, SCL, IOX_INT","Use probe-accessible placement"
"Switch plate","1","Mechanical support","1.5 mm prototype plate, material TBD","3D-printed or laser-cut test plate","Thickness follows switch family","Prototype locally before final finish"
"Common PCB","1","All fixed inputs and RGB","1.6 mm FR-4 prototype","Thickness adjusted only after stack review","Two-layer versus four-layer decided after RF/touch/layout review","Use Korean or regional quick-turn fab after DRC"
"MCU adapter PCB","2","Board-specific mapping","1.6 mm FR-4 prototype","Thinner board after mechanical review","One design per MCU","Panelize only after both designs pass review"
